,Null Columns
0,Connection_Net
1,Connection_Qty
2,Discount_Amount
3,Starting_Connection_Net
4,Starting_Connection_Qty
5,Last_Years_Price
6,Last_Years_Date_Paid
7,Proforma_Auto_Renewal
8,Proforma_World_Pay_Token
9,Proforma_Date
10,Current_Anchor_List
11,Payment_Timeframe
12,Registration_Date
13,Proforma_Account_Stage
14,Proforma_Audit_Status
15,Renewal_Score_At_Release
16,Proforma_Membership_Status
17,Proforma_Approved_Lists
18,Tenure_Years
19,Band
20,Closed_Date
21,Total_Net_Paid
22,Connection_Group
23,Tenure_Group
24,#_of_Connection
25,Last_Renewal
26,Last_Band
27,Last_Total_Net_Paid
28,Last_Connections
29,Anchor_Group
