,Columns
0,Contact_ID
1,Call_Date
2,Direction
3,cc_care_package
4,cc_care_package_discussed
5,cc_urgency_getting_on_site
6,cc_external_consultant
7,cc_agent_cross_sell_attempt
8,cc_customer_issues_concerns
9,cc_business_struggles_financial_hardship
10,cc_call_initiated_by
11,cc_questionnaire_completion
12,cc_chasing_response
13,cc_issues_within_questionnaire
14,cc_login_issues
15,cc_platform_issues
16,cc_dissatisfaction_time_to_complete
17,cc_process_complexity_concerns
18,cc_questions_harder_than_expected
19,cc_dissatisfaction_support
20,cc_contractor_sentiment
21,cc_contractor_sentiment_start_score
22,cc_contractor_sentiment_end_score
23,cc_contractor_sentiment_overall_score
24,cc_contractor_sentiment_issues_score
25,cc_pricing_mentioned
26,cc_pricing_sentiment_impact
27,cc_refund_discussed
28,cc_contractor_suggest_leave
29,cc_contractor_complained
30,Co_Ref
31,Analysed_Call
32,Call_Year
