,Null Columns
0,cc_care_package
1,cc_care_package_discussed
2,cc_urgency_getting_on_site
3,cc_external_consultant
4,cc_agent_cross_sell_attempt
5,cc_customer_issues_concerns
6,cc_business_struggles_financial_hardship
7,cc_call_initiated_by
8,cc_questionnaire_completion
9,cc_chasing_response
10,cc_issues_within_questionnaire
11,cc_login_issues
12,cc_platform_issues
13,cc_dissatisfaction_time_to_complete
14,cc_process_complexity_concerns
15,cc_questions_harder_than_expected
16,cc_dissatisfaction_support
17,cc_contractor_sentiment
18,cc_contractor_sentiment_start_score
19,cc_contractor_sentiment_end_score
20,cc_contractor_sentiment_overall_score
21,cc_contractor_sentiment_issues_score
22,cc_pricing_mentioned
23,cc_pricing_sentiment_impact
24,cc_refund_discussed
25,cc_contractor_suggest_leave
26,cc_contractor_complained
27,Co_Ref
