,Columns
0,Co_Ref
1,Time_to_Renewal
2,crm_accreditation_completed
3,crm_timely_completion
4,crm_progress_towards_accreditation
5,crm_delays_in_accreditation
6,crm_contractor_suggested_leave
7,crm_contractor_engagement
8,crm_contractor_sentiment
9,crm_contractor_sentiment_score
10,crm_dts_or_ssip_mentioned
11,crm_customer_payment_intention
12,crm_competitors_mentioned
13,crm_membership_level
14,crm_platform_issues_raised
15,crm_agent_chased_contractor
16,crm_agent_chase_count
17,crm_accreditation_issues
18,crm_membership_overdue
19,crm_auto_renewal_status
20,crm_dissatisified_with_renewal_price
21,crm_customer_complained
22,crm_refund_mentioned
23,crm_negative_customer_experience
24,crm_dissatisfaction_with_support
25,crm_financial_hardship_mentioned
26,year
