,Columns
0,Call_ID
1,Call_Direction
2,Co_Ref
3,Call_Date
4,Churn_Category
5,Complaint_Category
6,Customer_Reaction_Category
7,Agent_Renewal_Pitch_Category
8,Customer_Renewal_Response_Category
9,Agent_Response_Category
10,Membership_Renewal_Decision
11,Serious_Complaint
12,Other_Complaint
13,Discussion_on_Price_Increase
14,Renewal_Impact_Due_to_Price_Increase
15,Discount_or_Waiver_Requested
16,Call_Reschedule_Request
17,Agent_Flagged_Membership_Status_Alert
18,Agent_Renewal_Initiation
19,Explicit_Competitor_Mention
20,Unnamed: 20
21,Explicit_Switching_Intent
22,Mentioned_Competitors
23,Price_Switching_Mentioned
24,Competitor_Value_Comparison
25,Competitor_Benefits_Mentioned
26,Topic_Introduced_By
27,Percentage_Price_Increase_Mentioned
28,Monetary_Price_Increase_Mentioned
29,Price_Range_Mentioned
30,Customer_Asked_For_Justification
31,Customer_Response
32,Desire_To_Cancel
33,Discount_Offered
34,Justification_Category
35,Reason_For_Renewal_Category
36,Agent_Response_To_Cancel_Category
37,Argument_That_Convinced_Customer_to_Stay_Category
38,Analysed_Call
39,Call_Number
40,Call_Year
