Co_Ref,Renewal_Month,Discount_Amount,Sustainability_Score,Total_Renewal_Score_New,Last_Years_Price,Auto_Renewal_Score,Status_Scores,Anchoring_Score,Tenure_Scores,Proforma_Auto_Renewal,Proforma_World_Pay_Token,Proforma_Date,Current_Anchorings,Current_Anchor_List,Payment_Timeframe,Registration_Date,Proforma_Account_Stage,Proforma_Audit_Status,Current_Auto_Renewal_Flag,Current_World_Pay_Token,Renewal_Score_At_Release,Proforma_Membership_Status,Proforma_Approved_Lists,Tenure_Years,Band,Prospect_Renewal_Date,Closed_Date,Prospect_Status,Starting_Net,Starting_Vat,Starting_Gross,Starting_Membership_Net,Starting_Package_Net,Starting_PQQ_Net,Gross,Membership_Net,Package_Net,PQQNet,Total_Net_Paid,Prospect_Outcome,Payment_Method,Amount,Total_Amount,Connection_Group,Tenure_Group,#_of_Connection,Last_Renewal,Last_Band,Last_Total_Net_Paid,Last_Connections,Anchor_Group,Renewal_Year,DateTime_Out
FL6837,01-05-2026,0,9.5,43.0,1099.0,8,9,8.5,8.0,True,False,09-03-2026,1,Winvic Construction Limited (Sub-Contractors),,03-05-2024,Published,Accredited,y,n,26.0,Accredited,1.0,2.0,Band C2,03-05-2026,,Invoiced,1099,219.8,1318.8,964,0,135,1318.8,964.0,0.0,135,,Open,UNKNOWN,1099,1099.0,1,2,1.0,01-05-2025,Band C2,949.0,1.0,1,2026,01-05-2026
HG6294,01-05-2026,0,9.5,44.0,1349.0,8,8,9.0,9.5,True,False,10-03-2026,2,"William Jackson Food Group, BMW (UK) Manufacturing Ltd",,04-05-2007,Published,Accredited,y,n,27.5,Accredited,2.0,19.0,Band D,04-05-2026,,Invoiced,1349,269.8,1618.8,1214,0,135,1618.8,1214.0,0.0,135,,Open,UNKNOWN,1349,1349.0,2,4+,2.0,01-05-2025,Band D,1159.0,3.0,2,2026,01-05-2026
TJ2968,01-04-2026,0,9.5,45.5,1139.0,8,9,9.5,9.5,True,False,11-02-2026,4,"CBRE, Mitie, Rendall & Rittner, BGIS",,21-04-2011,Published,Accredited,y,n,28.0,Accredited,4.0,15.0,Band C1,21-04-2026,,Invoiced,1139,227.8,1366.8,864,140,135,1366.8,864.0,140.0,135,,Open,UNKNOWN,1139,1139.0,4-9,4+,4.0,01-04-2025,Band C1,919.0,4.0,4-9,2026,01-04-2026
SS4827,01-03-2026,0,8.0,43.5,1579.0,8,9,9.0,9.5,True,False,09-01-2026,2,"Edward Billington & Sons, ForFarmers",,19-03-2013,Published,Accredited,y,n,27.5,Accredited,2.0,13.0,Band E,19-03-2026,,Invoiced,1349,269.8,1618.8,1214,0,135,1894.8,1444.0,0.0,135,,Open,UNKNOWN,1349,1579.0,2,4+,2.0,01-03-2025,Band D,1159.0,6.0,2,2026,01-03-2026
LE8497,01-05-2026,0,9.5,45.0,1754.0,8,9,9.0,9.5,False,False,10-03-2026,2,"Rendall & Rittner, Knight Frank LLP",,22-05-2008,Published,Accredited,y,n,27.5,Accredited,2.0,18.0,Band E,22-05-2026,,Invoiced,1754,350.8,2104.8,1444,175,135,2104.8,1444.0,175.0,135,,Open,UNKNOWN,1754,1754.0,2,4+,2.0,01-05-2025,Band E,1226.2,6.0,2,2026,01-05-2026
RT6391,01-04-2026,0,8.0,44.0,999.0,8,9,9.5,9.5,True,False,11-02-2026,5,"Jaguar Building Services Ltd, JFM Block & Estate Management, Bizspace Ltd, FIFM, Premier Technical Services Group Ltd",,06-04-2011,Published,Accredited,y,n,28.0,Accredited,4.0,15.0,Band C1,07-04-2026,,Invoiced,999,199.8,1198.8,864,0,135,1198.8,864.0,0.0,135,,Open,UNKNOWN,999,999.0,4-9,4+,4.0,01-04-2025,Band C1,799.0,3.0,4-9,2026,01-04-2026
WE2750,01-04-2026,0,9.5,45.0,1719.0,8,9,9.0,9.5,True,False,11-02-2026,2,"Next Retail Ltd, GKN Aerospace Services Limited",,22-04-2013,Published,Accredited,y,n,27.5,Accredited,2.0,13.0,Band E,22-04-2026,,Invoiced,1719,343.8,2062.8,1444,140,135,2062.8,1444.0,140.0,135,,Open,UNKNOWN,1719,1719.0,2,4+,2.0,01-04-2025,Band E,1469.0,2.0,2,2026,01-04-2026
GX1260,01-03-2026,0,8.0,41.5,1099.0,8,9,8.5,8.0,True,False,06-01-2026,1,CBRE,,22-03-2024,Published,Accredited,y,n,26.0,Accredited,1.0,2.0,Band C2,22-03-2026,,Invoiced,1099,219.8,1318.8,964,0,135,1318.8,964.0,0.0,135,,Open,UNKNOWN,1099,1099.0,1,2,1.0,01-03-2025,Band C2,949.0,1.0,1,2026,01-03-2026
PO9952,01-05-2026,0,8.0,43.5,1489.0,8,9,9.0,9.5,True,False,10-03-2026,2,"The Co-operative, Notting Hill Genesis",,21-05-2013,Published,Accredited,y,n,27.5,Accredited,2.0,13.0,Band D,21-05-2026,,Invoiced,1489,297.8,1786.8,1214,140,135,1786.8,1214.0,140.0,135,,Open,UNKNOWN,1489,1489.0,2,4+,2.0,01-05-2025,Band D,1279.0,2.0,2,2026,01-05-2026
KW3907,01-03-2026,0,9.5,44.5,999.0,8,9,8.5,9.5,True,False,09-01-2026,1,British Gypsum,,23-03-2015,Published,Accredited,y,n,27.0,Accredited,1.0,11.0,Band C1,23-03-2026,,Invoiced,999,199.8,1198.8,864,0,135,1198.8,864.0,0.0,135,,Open,UNKNOWN,999,999.0,1,4+,1.0,01-03-2025,Band C1,799.0,1.0,1,2026,01-03-2026
EB6366,01-04-2026,0,9.0,42.0,1489.0,8,9,8.5,7.5,True,False,10-02-2026,1,Lambert Smith Hampton Residential,,16-04-2025,Published,Accredited,y,n,24.5,Accredited,1.0,1.0,Band D,16-04-2026,,Invoiced,1489,297.8,1786.8,1214,140,135,1786.8,1214.0,140.0,135,,Open,UNKNOWN,1489,1489.0,1,1,1.0,,,,,1,2026,01-04-2026
BT0489,01-03-2026,0,9.0,43.0,1349.0,8,9,8.5,8.5,True,False,07-01-2026,1,CBRE,,08-03-2022,Published,Accredited,y,n,26.5,Accredited,1.0,4.0,Band D,08-03-2026,,Invoiced,1489,297.8,1786.8,1214,140,135,1618.8,1214.0,0.0,135,,Open,UNKNOWN,1489,1349.0,1,4+,1.0,01-03-2025,Band D,1279.0,1.0,1,2026,01-03-2026
UK4840,01-04-2026,0,9.5,45.0,1719.0,8,9,9.0,9.5,True,False,11-02-2026,2,"Baxter Healthcare Ltd, Circle Health Group",,06-06-2018,Published,Accredited,y,n,27.5,Accredited,2.0,8.0,Band E,09-04-2026,,Invoiced,1719,343.8,2062.8,1444,140,135,2062.8,1444.0,140.0,135,,Open,UNKNOWN,1719,1719.0,2,4+,2.0,01-04-2025,Band E,1469.0,2.0,2,2026,01-04-2026
CD8930,01-05-2026,0,8.0,41.5,1489.0,8,9,8.5,8.0,True,False,06-03-2026,1,CBRE,,07-05-2024,Published,Accredited,y,n,26.0,Accredited,1.0,2.0,Band D,07-05-2026,,Invoiced,1489,297.8,1786.8,1214,140,135,1786.8,1214.0,140.0,135,,Open,UNKNOWN,1489,1489.0,1,2,1.0,01-05-2025,Band D,1279.0,1.0,1,2026,01-05-2026
CP1011,01-04-2026,0,9.5,44.5,1139.0,8,9,9.0,9.0,True,False,11-02-2026,2,"PHP Property Management Services Ltd, Carter Jonas LLP",,,Published,Accredited,y,n,25.0,Accredited,2.0,,Band C1,21-04-2026,,Invoiced,1139,227.8,1366.8,864,140,135,1366.8,864.0,140.0,135,,Open,UNKNOWN,1139,1139.0,2,,2.0,01-04-2025,Band C2,1069.0,4.0,2,2026,01-04-2026
MS0488,01-05-2026,10.00%,9.5,45.5,1038.6,8,9,9.5,9.5,True,False,09-03-2026,6,"CBRE, Serco Group Plc, OUTCO Limited, Norse Group Limited, Heron Foods Limited, Principle Systems",,24-05-2017,Published,Accredited,y,n,28.0,Accredited,7.0,9.0,Band C1,24-05-2026,,Invoiced,1139,227.8,1366.8,864,140,135,1246.32,777.6,126.0,135,,Open,UNKNOWN,1139,1038.6,4-9,4+,7.0,01-05-2025,Band C1,919.0,5.0,4-9,2026,01-05-2026
XO7261,01-03-2026,20.00%,9.0,42.0,938.2,8,9,8.5,7.5,True,True,06-01-2026,1,British Sugar,,06-03-2025,Published,Accredited,n,n,24.5,Accredited,1.0,1.0,Band C1,06-03-2026,,Invoiced,1139,227.8,1366.8,864,140,135,1125.84,691.2,112.0,135,,Open,UNKNOWN,1139,938.2,1,1,1.0,,,,,1,2026,01-03-2026
SV3622,01-03-2026,0,8.0,41.0,1579.0,8,7,8.5,9.5,True,False,09-01-2026,1,Procter & Gamble Product Supply UK Ltd,,23-03-2018,Membership Only,Failed- Renewal Questionnaire not received,y,n,24.0,Member Only,1.0,8.0,Band E,23-03-2026,,Invoiced,1579,315.8,1894.8,1444,0,135,1894.8,1444.0,0.0,135,,Open,UNKNOWN,1579,1579.0,1,4+,1.0,01-03-2025,Band E,1349.0,2.0,1,2026,01-03-2026
GN7305,01-04-2026,20.00%,9.5,44.0,1290.2,8,9,9.0,8.5,True,False,10-02-2026,2,"CBRE, Nestle UK Ltd",,01-04-2022,Renewal Process,Renewal Questionnaire Sent,y,n,27.0,Accredited,2.0,4.0,Band E,01-04-2026,,Invoiced,1579,315.8,1894.8,1444,0,135,1548.24,1155.2,0.0,135,,Open,UNKNOWN,1579,1290.2,2,4+,2.0,01-04-2025,Band E,1349.0,3.0,2,2026,01-04-2026
AY2983,01-04-2026,0,8.0,41.0,1489.0,8,9,8.5,7.5,True,True,10-02-2026,1,CBRE,,03-04-2025,Renewal Process,Renewal Questionnaire Sent,n,n,24.5,Accredited,1.0,1.0,Band D,03-04-2026,,Invoiced,1489,297.8,1786.8,1214,140,135,1786.8,1214.0,140.0,135,,Open,UNKNOWN,1489,1489.0,1,1,1.0,,,,,1,2026,01-04-2026
BG0134,01-03-2026,0,9.5,43.5,639.0,8,9,9.5,7.5,True,True,06-01-2026,5,"Dalkia Ltd, Vital Energi Ltd, Savills UK Limited, Briggs & Forrester Engineering Services, Touchstone",,27-03-2025,Published,Accredited,n,n,25.5,Accredited,6.0,1.0,Band B,27-03-2026,,Invoiced,639,127.8,766.8,540,0,99,766.8,540.0,0.0,99,,Open,UNKNOWN,639,639.0,4-9,1,6.0,,,,,4-9,2026,01-03-2026
QU5079,01-03-2026,0,8.0,42.0,739.0,8,9,8.5,8.5,True,False,06-01-2026,1,CBRE,,27-03-2023,Published,Accredited,y,n,26.0,Accredited,1.0,3.0,Band B,27-03-2026,,Invoiced,739,147.8,886.8,540,100,99,886.8,540.0,100.0,99,,Open,UNKNOWN,739,739.0,1,3,1.0,,,,,1,2026,01-03-2026
OP1163,01-05-2026,0,8.0,43.0,2749.0,8,9,8.5,9.5,True,False,09-03-2026,1,The Bristol Port Company,,31-05-2019,Published,Accredited,y,n,27.0,Accredited,1.0,7.0,Band G,31-05-2026,,Invoiced,2749,549.8,3298.8,2549,0,200,3298.8,2549.0,0.0,200,,Open,UNKNOWN,2749,2749.0,1,4+,1.0,01-05-2025,Band G,2249.0,1.0,1,2026,01-05-2026
MT5955,01-04-2026,0,8.0,42.5,2939.0,8,9,9.0,8.5,True,False,11-02-2026,2,"CBRE, Digital Realty (UK) Limited",,06-04-2022,Published,Accredited,y,n,27.0,Accredited,2.0,4.0,Band G,06-04-2026,,Invoiced,2939,0.0,2939.0,2549,190,200,2939.0,2549.0,190.0,200,,Open,UNKNOWN,2939,2939.0,2,4+,2.0,01-04-2025,Band G,2409.0,1.0,2,2026,01-04-2026
