Feature,SHAP_Importance
Status_Scores,1.9571539
Total_Net_Paid,0.9551383
Sustainability_Score,0.9291905
Tenure_Years,0.5303092
Payment_Timeframe,0.35270596
Renewal_Score_At_Release,0.3321563
Discount_Amount,0.3314809
Current_World_Pay_Token,0.320109
Band_Band B,0.3027666
stage_high_risk_flag,0.23629636
Anchoring_Score,0.19474174
Auto_Renewal_Score,0.18476227
stage_low_risk_flag,0.14783925
Unnamed: 0,0.13619237
Current_Anchorings,0.10319829
Band_Band C1,0.08274489
cancel_flag,0.0727141
Tenure_Group_3,0.07265139
Customer_Response_Risk_Low Risk,0.067145206
Connection_Group_4-9,0.06225324
Band_Band F1,0.061232112
Tenure_Group_2,0.06019433
Connection_Group_independent,0.045598436
Tenure_Group_4+,0.04252469
Band_Band D,0.04186154
competitor_mentioned_flag,0.041802935
Current_Auto_Renewal_Flag,0.039457068
Connection_Group_Unknown,0.0375732
Band_Band F,0.03690747
Connection_Group_3,0.036091376
Band_Band E,0.034226164
Connection_Group_2,0.031861898
Band_Band C2,0.028594114
Competitor_Value_Comparison_renewal_not discussed,0.02175067
Connection_Group_10+,0.019894842
Anchor_Group_4-9,0.019561168
Call_attend_status_renewal,0.018671602
Band_Band G,0.013630753
Band_Band F2,0.012898865
Anchor_Group_independent,0.011278899
Customer_Response_flag,0.010810534
Customer_Response_Risk_Neutral,0.01064994
Anchor_Group_3,0.0095397495
Competitor_Value_Comparison_renewal_unknown,0.00820278
Customer_Response_Risk_Medium Risk,0.007734362
agent_complaint_flag,0.006061995
Band_Band J,0.0059722466
Band_Group,0.0052062618
Anchor_Group_Unknown,0.0051440964
Band_Band H,0.0047133747
Anchor_Group_2,0.0043182797
topic_customer_flag,0.004166478
Explicit_Competitor_Mention_renewal,0.0036213235
Price_Switching_Mentioned_renewal,0.0035859696
Discount_Offered_flag,0.0034374513
Tenure_Group_Unknown,0.0032028044
Band_Band I,0.0019528337
Call_Reschedule_Request_renewal,0.0018146846
Anchor_Group_10+,0.00028027798
Renewal_Impact_Due_to_Price_Increase_renewal,0.00013404869
Band_Unknown,1.8424627e-05
Explicit_Switching_Intent_flag,0.0
Competitor_Value_Comparison_renewal_similar value,0.0
Serious_Complaint_renewal,0.0
Proforma_Auto_Renewal,0.0
