y_actual,y_pred,y_prob,top_3_features
0,0,0.003911012,"['Status_Scores', 'Sustainability_Score', 'Anchoring_Score']"
0,0,0.01582373,"['Tenure_Years', 'Total_Net_Paid', 'Status_Scores']"
0,1,0.29548845,"['Status_Scores', 'Total_Net_Paid', 'stage_high_risk_flag']"
1,1,0.88322634,"['Status_Scores', 'stage_high_risk_flag', 'Total_Net_Paid']"
0,0,0.0018526069,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,1,0.75296146,"['Status_Scores', 'Call_attend_status_renewal', 'Payment_Timeframe']"
0,0,0.003623835,"['Status_Scores', 'Tenure_Years', 'Band_Band F1']"
0,0,0.013251783,"['Status_Scores', 'Connection_Group_independent', 'Sustainability_Score']"
0,0,0.009145471,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.0056432057,"['Status_Scores', 'Sustainability_Score', 'Renewal_Score_At_Release']"
0,1,0.5733936,"['Connection_Group_Unknown', 'Status_Scores', 'Payment_Timeframe']"
0,1,0.110903114,"['Status_Scores', 'Total_Net_Paid', 'Sustainability_Score']"
0,0,0.0048698825,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.009469101,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.0008484586,"['Status_Scores', 'Band_Band F', 'Renewal_Score_At_Release']"
0,0,0.010708104,"['Status_Scores', 'Total_Net_Paid', 'Current_World_Pay_Token']"
0,0,0.014631012,"['Status_Scores', 'Sustainability_Score', 'Tenure_Group_3']"
0,1,0.28001913,"['Status_Scores', 'Total_Net_Paid', 'Sustainability_Score']"
0,0,0.019992836,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.014552932,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.0010235279,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
0,1,0.29568905,"['Status_Scores', 'Total_Net_Paid', 'Renewal_Score_At_Release']"
0,0,0.023922533,"['Status_Scores', 'Total_Net_Paid', 'Renewal_Score_At_Release']"
0,0,0.0039051108,"['Status_Scores', 'Sustainability_Score', 'Renewal_Score_At_Release']"
0,0,0.008643929,"['Status_Scores', 'Current_World_Pay_Token', 'Total_Net_Paid']"
0,1,0.11216866,"['Status_Scores', 'Tenure_Years', 'Sustainability_Score']"
0,0,0.0057876497,"['Status_Scores', 'Tenure_Years', 'Total_Net_Paid']"
0,0,0.0053143953,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,1,0.7969247,"['Status_Scores', 'Total_Net_Paid', 'Band_Band B']"
0,0,0.024460787,"['Status_Scores', 'Total_Net_Paid', 'Sustainability_Score']"
0,1,0.09425357,"['Status_Scores', 'Tenure_Years', 'stage_high_risk_flag']"
0,0,0.010889557,"['Status_Scores', 'Total_Net_Paid', 'Sustainability_Score']"
1,1,0.9251482,"['Status_Scores', 'cancel_flag', 'Renewal_Score_At_Release']"
0,1,0.2006169,"['Total_Net_Paid', 'Status_Scores', 'Current_World_Pay_Token']"
0,1,0.7187887,"['Status_Scores', 'Payment_Timeframe', 'stage_high_risk_flag']"
0,0,0.023276797,"['Status_Scores', 'Payment_Timeframe', 'Tenure_Years']"
0,0,0.0048269583,"['Sustainability_Score', 'Status_Scores', 'Total_Net_Paid']"
1,1,0.9955289,"['Discount_Amount', 'Status_Scores', 'Total_Net_Paid']"
0,1,0.114218354,"['Total_Net_Paid', 'Status_Scores', 'Renewal_Score_At_Release']"
0,0,0.0034105417,"['Sustainability_Score', 'Status_Scores', 'Tenure_Years']"
0,0,0.00014171413,"['Sustainability_Score', 'Status_Scores', 'Tenure_Years']"
0,0,0.015054121,"['Status_Scores', 'Current_World_Pay_Token', 'Total_Net_Paid']"
0,0,0.037292678,"['Status_Scores', 'Total_Net_Paid', 'Current_World_Pay_Token']"
